"Title","LFS: ILO unemployment rate: Wales: All: %: SA"
"CDID","YCNM"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","14-02-2023"
"Next release","14 March 2023"
"Important notes",
"1992","9.3"
"1993","10.1"
"1994","9.7"
"1995","8.6"
"1996","8.4"
"1997","7.6"
"1998","7.2"
"1999","7.3"
"2000","6.3"
"2001","5.9"
"2002","5.4"
"2003","4.7"
"2004","4.5"
"2005","4.6"
"2006","5.3"
"2007","5.3"
"2008","6.0"
"2009","8.1"
"2010","8.6"
"2011","8.7"
"2012","8.6"
"2013","7.7"
"2014","6.7"
"2015","5.9"
"2016","4.5"
"2017","4.6"
"2018","4.1"
"2019","3.8"
"2020","3.8"
"2021","3.9"
"2022","3.5"
"1992 Q2","9.1"
"1992 Q3","9.9"
"1992 Q4","10.3"
"1993 Q1","10.3"
"1993 Q2","10.2"
"1993 Q3","9.8"
"1993 Q4","10.0"
"1994 Q1","9.6"
"1994 Q2","9.7"
"1994 Q3","9.7"
"1994 Q4","9.7"
"1995 Q1","9.3"
"1995 Q2","8.8"
"1995 Q3","8.4"
"1995 Q4","7.9"
"1996 Q1","8.5"
"1996 Q2","8.3"
"1996 Q3","8.5"
"1996 Q4","8.4"
"1997 Q1","7.9"
"1997 Q2","8.3"
"1997 Q3","7.4"
"1997 Q4","6.9"
"1998 Q1","7.2"
"1998 Q2","7.0"
"1998 Q3","7.5"
"1998 Q4","7.1"
"1999 Q1","7.2"
"1999 Q2","7.5"
"1999 Q3","7.2"
"1999 Q4","7.3"
"2000 Q1","6.7"
"2000 Q2","6.1"
"2000 Q3","6.7"
"2000 Q4","5.8"
"2001 Q1","6.1"
"2001 Q2","6.1"
"2001 Q3","5.5"
"2001 Q4","5.8"
"2002 Q1","5.7"
"2002 Q2","5.6"
"2002 Q3","5.2"
"2002 Q4","5.1"
"2003 Q1","4.9"
"2003 Q2","4.5"
"2003 Q3","4.7"
"2003 Q4","4.8"
"2004 Q1","4.6"
"2004 Q2","4.2"
"2004 Q3","4.9"
"2004 Q4","4.2"
"2005 Q1","4.5"
"2005 Q2","4.5"
"2005 Q3","4.6"
"2005 Q4","4.9"
"2006 Q1","4.7"
"2006 Q2","5.8"
"2006 Q3","5.3"
"2006 Q4","5.3"
"2007 Q1","5.5"
"2007 Q2","5.7"
"2007 Q3","5.1"
"2007 Q4","5.0"
"2008 Q1","5.2"
"2008 Q2","5.2"
"2008 Q3","6.5"
"2008 Q4","7.0"
"2009 Q1","7.6"
"2009 Q2","7.7"
"2009 Q3","8.7"
"2009 Q4","8.5"
"2010 Q1","9.4"
"2010 Q2","8.9"
"2010 Q3","8.0"
"2010 Q4","8.3"
"2011 Q1","7.9"
"2011 Q2","8.4"
"2011 Q3","9.7"
"2011 Q4","8.9"
"2012 Q1","8.9"
"2012 Q2","8.2"
"2012 Q3","8.6"
"2012 Q4","8.6"
"2013 Q1","8.0"
"2013 Q2","7.8"
"2013 Q3","8.1"
"2013 Q4","7.0"
"2014 Q1","6.6"
"2014 Q2","6.3"
"2014 Q3","7.0"
"2014 Q4","6.7"
"2015 Q1","6.5"
"2015 Q2","5.6"
"2015 Q3","6.4"
"2015 Q4","5.3"
"2016 Q1","4.6"
"2016 Q2","4.0"
"2016 Q3","4.8"
"2016 Q4","4.5"
"2017 Q1","4.6"
"2017 Q2","4.1"
"2017 Q3","4.5"
"2017 Q4","5.1"
"2018 Q1","4.3"
"2018 Q2","4.0"
"2018 Q3","4.1"
"2018 Q4","4.1"
"2019 Q1","4.5"
"2019 Q2","3.9"
"2019 Q3","3.8"
"2019 Q4","2.9"
"2020 Q1","3.2"
"2020 Q2","2.7"
"2020 Q3","4.6"
"2020 Q4","4.5"
"2021 Q1","4.5"
"2021 Q2","4.1"
"2021 Q3","3.8"
"2021 Q4","3.1"
"2022 Q1","3.0"
"2022 Q2","3.8"
"2022 Q3","3.7"
"2022 Q4","3.5"
"1992 APR","9.2"
"1992 MAY","9.1"
"1992 JUN","9.5"
"1992 JUL","9.7"
"1992 AUG","9.9"
"1992 SEP","9.9"
"1992 OCT","10.5"
"1992 NOV","10.3"
"1992 DEC","10.5"
"1993 JAN","10.2"
"1993 FEB","10.3"
"1993 MAR","10.4"
"1993 APR","9.9"
"1993 MAY","10.2"
"1993 JUN","10.0"
"1993 JUL","9.9"
"1993 AUG","9.8"
"1993 SEP","9.7"
"1993 OCT","9.8"
"1993 NOV","10.0"
"1993 DEC","10.1"
"1994 JAN","10.0"
"1994 FEB","9.6"
"1994 MAR","9.6"
"1994 APR","9.6"
"1994 MAY","9.7"
"1994 JUN","9.8"
"1994 JUL","9.9"
"1994 AUG","9.7"
"1994 SEP","9.9"
"1994 OCT","9.8"
"1994 NOV","9.7"
"1994 DEC","9.4"
"1995 JAN","9.2"
"1995 FEB","9.3"
"1995 MAR","8.9"
"1995 APR","9.0"
"1995 MAY","8.8"
"1995 JUN","8.5"
"1995 JUL","8.3"
"1995 AUG","8.4"
"1995 SEP","8.6"
"1995 OCT","8.3"
"1995 NOV","7.9"
"1995 DEC","8.1"
"1996 JAN","8.6"
"1996 FEB","8.5"
"1996 MAR","8.8"
"1996 APR","8.5"
"1996 MAY","8.3"
"1996 JUN","8.5"
"1996 JUL","8.4"
"1996 AUG","8.5"
"1996 SEP","8.3"
"1996 OCT","8.2"
"1996 NOV","8.4"
